FIPS,County,State,percent_medicalDebt,percent_uninsured,percent_poverty,percent_chronic,percent_live_births,percent_65,medicare_spending,average_income
35017,Grant County,New Mexico,17.1,3.7,24.0,8.6,10.4,26.6,"7,207","56,893"
32015,Lander County,Nevada,25.8,6.7,9.7,8.6,10.3,14.1,"8,866","84,729"
8081,Moffat County,Colorado,12.8,15.6,17.0,8.7,8.3,13.8,"9,382","70,569"
48043,Brewster County,Texas,22.0,16.0,14.0,8.7,5.8,22.4,"6,661","63,082"
53029,Island County,Washington,3.7,4.9,7.8,8.7,5.1,24.0,"6,840","86,613"
16041,Franklin County,Idaho,11.0,10.9,10.4,8.7,8.2,13.8,"8,800","73,488"
8063,Kit Carson County,Colorado,14.5,9.1,6.1,8.8,7.7,18.3,"9,789","69,660"
49013,Duchesne County,Utah,18.6,13.5,13.7,8.8,7.5,11.4,"7,201","72,088"
53043,Lincoln County,Washington,3.0,3.8,12.5,8.8,5.5,25.5,"8,976","67,879"
30045,Judith Basin County,Montana,3.6,8.1,12.7,8.8,,22.7,"6,460","61,197"
2122,Kenai Peninsula Borough,Alaska,13.9,16.0,12.1,8.8,4.9,16.5,"7,586","85,348"
27077,Lake of the Woods County,Minnesota,1.3,2.9,10.7,8.8,4.3,23.5,"8,441","59,407"
15007,Kauai County,Hawaii,4.4,5.0,8.1,8.9,7.8,19.3,"5,920","96,091"
50001,Addison County,Vermont,2.9,4.3,7.2,8.9,6.5,19.2,"6,425","84,865"
30075,Powder River County,Montana,,6.8,12.8,8.9,,27.4,"5,769","68,431"
20157,Republic County,Kansas,7.1,5.1,10.8,8.9,7.9,27.4,"9,802","58,436"
16023,Butte County,Idaho,13.5,15.5,18.0,8.9,7.2,20.8,"10,280","69,040"
50025,Windham County,Vermont,6.8,5.2,13.7,8.9,7.4,21.9,"8,185","71,700"
53065,Stevens County,Washington,3.1,7.0,14.2,9.0,6.2,22.5,"7,466","66,675"
16085,Valley County,Idaho,6.9,11.4,7.2,9.0,5.3,27.5,"7,424","86,047"
8013,Boulder County,Colorado,8.9,4.6,11.7,9.0,8.1,13.7,"8,676","115,966"
30029,Flathead County,Montana,6.1,8.7,10.9,9.0,6.4,18.7,"7,618","76,591"
30105,Valley County,Montana,7.7,8.4,11.1,9.0,6.0,22.2,"8,082","63,373"
32017,Lincoln County,Nevada,15.8,9.4,5.5,9.0,6.3,21.9,"7,842","66,310"
56045,Weston County,Wyoming,11.4,11.8,14.5,9.1,5.9,19.4,"9,042","68,877"
19101,Jefferson County,Iowa,18.1,4.6,12.1,9.1,5.9,21.6,"8,597","68,141"
56017,Hot Springs County,Wyoming,13.5,14.0,15.2,9.1,7.4,24.0,"8,967","66,157"
41025,Harney County,Oregon,6.9,5.9,10.5,9.1,6.0,23.9,"7,855","59,279"
6049,Modoc County,California,15.6,12.5,18.8,9.1,7.0,27.0,"7,628","53,699"
2180,Nome Census Area,Alaska,10.1,20.7,21.5,9.1,6.0,7.0,"11,466","76,581"
50015,Lamoille County,Vermont,6.4,5.0,13.6,9.1,6.3,16.7,"7,122","86,436"
30049,Lewis and Clark County,Montana,9.5,5.7,10.4,9.1,7.2,18.0,"7,550","81,455"
35059,Union County,New Mexico,12.3,13.9,19.4,9.1,7.3,19.7,"8,329","55,998"
19191,Winneshiek County,Iowa,4.2,1.9,8.2,9.1,5.6,20.0,"7,695","77,597"
53047,Okanogan County,Washington,2.8,11.4,19.5,9.2,7.0,21.1,"7,399","59,547"
46093,Meade County,South Dakota,2.5,10.0,6.9,9.2,7.7,15.1,"7,681","70,606"
46073,Jerauld County,South Dakota,0.0,7.3,7.9,9.2,,29.6,"8,963","92,714"
35053,Socorro County,New Mexico,15.9,8.2,29.7,9.2,8.2,18.9,"6,794","54,875"
56027,Niobrara County,Wyoming,23.5,14.4,20.1,9.2,,22.8,"10,622","54,980"
17085,Jo Daviess County,Illinois,8.3,5.1,8.5,9.2,6.9,27.2,"7,842","74,630"
50005,Caledonia County,Vermont,13.9,4.6,12.6,9.2,6.5,20.0,"7,693","69,923"
2220,Sitka City and Borough,Alaska,9.1,16.3,8.7,9.2,4.8,15.2,"12,408","90,196"
49023,Juab County,Utah,11.0,11.8,12.6,9.2,6.3,11.7,"9,421","73,358"
41041,Lincoln County,Oregon,4.4,9.4,16.3,9.3,7.5,27.9,"7,329","61,968"
38019,Cavalier County,North Dakota,3.2,5.0,11.0,9.3,10.3,27.1,"7,521","96,680"
16009,Benewah County,Idaho,8.1,11.4,17.3,9.3,6.8,22.2,"7,872","56,776"
8045,Garfield County,Colorado,11.4,16.0,8.6,9.3,8.7,12.7,"8,255","90,090"
8119,Teller County,Colorado,10.3,8.6,8.2,9.3,13.6,21.1,"7,106","84,460"
16007,Bear Lake County,Idaho,7.3,5.7,16.8,9.3,9.2,20.6,"9,420","66,372"
46047,Fall River County,South Dakota,4.5,7.1,14.0,9.3,8.1,27.6,"7,895","60,879"
31049,Deuel County,Nebraska,7.4,15.1,8.8,9.3,,23.5,"10,897","58,781"
31171,Thomas County,Nebraska,,2.8,8.4,9.3,,21.2,"7,093","82,762"
31103,Keya Paha County,Nebraska,,6.4,7.5,9.3,,24.1,"8,251","71,348"
46111,Sanborn County,South Dakota,6.8,7.0,8.8,9.3,5.3,19.9,"7,895","78,357"
16035,Clearwater County,Idaho,6.3,11.7,12.8,9.4,6.0,26.7,"7,473","56,978"
6045,Mendocino County,California,12.6,8.6,17.8,9.4,6.6,21.2,"7,554","70,648"
56015,Goshen County,Wyoming,18.2,11.3,11.5,9.4,7.9,21.6,"7,911","68,090"
46019,Butte County,South Dakota,3.9,14.5,11.4,9.4,7.7,19.9,"6,488","64,689"
27153,Todd County,Minnesota,1.7,8.8,11.9,9.4,5.2,20.9,"9,033","65,828"
2060,Bristol Bay Borough,Alaska,,20.5,7.2,9.4,,9.9,"12,784","96,032"
32009,Esmeralda County,Nevada,,11.9,8.9,9.4,,28.5,"7,022","50,154"
35028,Los Alamos County,New Mexico,5.9,3.2,4.4,9.4,8.1,17.5,"6,467","141,162"
38013,Burke County,North Dakota,2.9,5.4,5.9,9.4,5.7,16.9,"9,520","93,941"
56009,Converse County,Wyoming,21.0,8.7,9.6,9.5,8.6,16.6,"9,877","81,708"
56029,Park County,Wyoming,14.1,11.5,8.4,9.5,7.6,22.2,"7,540","82,323"
49031,Piute County,Utah,,19.7,17.1,9.5,,24.6,"7,478","57,805"
49039,Sanpete County,Utah,16.3,10.3,15.0,9.5,7.8,13.7,"8,398","67,713"
41057,Tillamook County,Oregon,6.9,7.0,13.1,9.5,5.9,24.9,"7,592","64,604"
8115,Sedgwick County,Colorado,13.2,9.0,19.0,9.5,6.3,23.1,"9,604","64,634"
27067,Kandiyohi County,Minnesota,2.0,6.6,10.5,9.6,5.6,18.3,"8,455","76,555"
56037,Sweetwater County,Wyoming,22.3,11.3,11.5,9.6,10.1,11.4,"8,116","85,346"
50019,Orleans County,Vermont,5.6,3.5,13.1,9.6,7.5,22.1,"7,236","62,234"
